"acres"|"acquisitioncost"|"district_n"|"agency"
1504.97|1298000|"01"|"DFW"
22212.75|14016822|"02"|"DFW"
39480.4|7140300|"03"|"DFW"
686719.140000001|89124884|"04"|"DFW"
230510.98|117974429|"05"|"DFW"
13787.25|15191226|"06"|"DFW"
1202.92|447600|"08"|"DFW"
3763.12|0|"09"|"DFW"
1504.97|1298000|"01"|"DNR"
22212.75|14016822|"02"|"DNR"
39480.4|7140300|"03"|"DNR"
686719.140000001|89124884|"04"|"DNR"
230510.98|117974429|"05"|"DNR"
13787.25|15191226|"06"|"DNR"
1202.92|447600|"08"|"DNR"
3763.12|0|"09"|"DNR"
8606.25|0|"01"|"FEDERAL"
2363314.09000001|0|"02"|"FEDERAL"
1404565.26|0|"03"|"FEDERAL"
5065082.72|0|"04"|"FEDERAL"
4925370.85|0|"05"|"FEDERAL"
1774668.74000001|0|"06"|"FEDERAL"
529396.240000001|0|"08"|"FEDERAL"
23723.15|0|"09"|"FEDERAL"
4369.42|13743664.2|"01"|"PARKS"
74565.63|314895464.19|"02"|"PARKS"
48261.1|99627213.86|"03"|"PARKS"
95515.0799999998|55138226.2399999|"04"|"PARKS"
116524.86|59059701.35|"05"|"PARKS"
40785.3300000001|174340990.78|"06"|"PARKS"
35719.9600000001|158719128.08|"08"|"PARKS"
4048.02|11528848|"09"|"PARKS"
